Data, Mediana
10/2000,2.4795825000000002
11/2000,2.374475
12/2000,1.513011
01/2000,0.813389
02/2000,1.0869075
03/2000,1.780856
04/2000,1.607667
05/2000,1.7784675
06/2000,2.5004844999999998
07/2000,2.391197
08/2000,2.721450
09/2000,2.759371
10/2001,3.187625
11/2001,3.926054
12/2001,4.9312640000000005
01/2001,1.834604
02/2001,1.822660
03/2001,2.2323405000000003
04/2001,2.7165525
05/2001,3.344331
06/2001,3.544991
07/2001,3.007987
08/2001,3.280885
09/2001,2.411741
10/2002,0.711673
11/2002,1.1248420000000001
12/2002,1.012090
01/2002,5.004648
02/2002,4.412224
03/2002,4.033835
04/2002,2.930399
05/2002,2.673171
06/2002,2.14534
07/2002,1.3583720000000001
08/2002,0.7774135
09/2002,0.712056
10/2003,1.301805
11/2003,1.545654
12/2003,1.6117759999999999
01/2003,0.853855
02/2003,0.920359
03/2003,1.026614
04/2003,1.035787
05/2003,1.587697
06/2003,1.875883
07/2003,1.7260565
08/2003,1.370602
09/2003,1.456981
10/2004,1.106113
11/2004,1.399650
12/2004,1.7512824999999999
01/2004,1.851039
02/2004,1.739817
03/2004,1.694716
04/2004,1.804791
05/2004,1.644264
06/2004,1.563236
07/2004,1.195550
08/2004,0.9364129999999999
09/2004,1.075536
10/2005,2.462956
11/2005,2.663234
12/2005,2.796242
01/2005,1.6572589999999998
02/2005,1.967613
03/2005,1.9221309999999998
04/2005,1.716119
05/2005,1.943152
06/2005,2.0895375
07/2005,2.068516
08/2005,2.214520
09/2005,2.505764
10/2006,4.948081500000001
11/2006,5.499227
12/2006,5.6559314999999994
01/2006,3.3022875000000003
02/2006,3.439119
03/2006,3.757882
04/2006,4.467262
05/2006,4.000966
06/2006,3.233491
07/2006,2.9758815
08/2006,4.019314
09/2006,4.520006
10/2007,8.455231
11/2007,7.441616
12/2007,7.884214500000001
01/2007,5.0551
02/2007,5.002353
03/2007,4.538352
04/2007,4.7095825
05/2007,5.2072185
06/2007,6.046550
07/2007,6.922573
08/2007,6.943978
09/2007,7.930077
10/2008,1.765807
11/2008,1.713061
12/2008,1.826578
01/2008,5.932652
02/2008,5.212569
03/2008,4.4970735
04/2008,4.5050995
05/2008,5.295126
06/2008,4.820423
07/2008,2.6590295
08/2008,2.972059
09/2008,2.497355
10/2009,3.142906
11/2009,2.996138
12/2009,3.7735515
01/2009,1.8254315
02/2009,1.898816
03/2009,2.2439505
04/2009,2.602845
05/2009,2.2416575
06/2009,2.5501
07/2009,2.717508
08/2009,3.079843
09/2009,3.474282
10/2010,2.589085
11/2010,2.962887
12/2010,3.4089235
01/2010,3.997143
02/2010,3.799924
03/2010,3.976505
04/2010,3.896242
05/2010,3.054616
06/2010,2.6567360000000004
07/2010,2.380400
08/2010,2.1590999999999996
09/2010,2.423972
10/2011,3.352739
11/2011,3.359619
12/2011,3.240370
01/2011,5.2137165
02/2011,5.361631
03/2011,4.233350
04/2011,4.162259000000001
05/2011,4.279214
06/2011,3.7815779999999997
07/2011,3.3653525
08/2011,2.983525
09/2011,3.183038
10/2012,2.933074
11/2012,2.778893
12/2012,2.8400555
01/2012,3.3275135000000002
02/2012,3.6313695
03/2012,3.3836985
04/2012,3.2117044999999997
05/2012,2.8642754999999998
06/2012,2.843637
07/2012,3.001871
08/2012,3.290821
09/2012,3.086723
10/2013,3.626568
11/2013,3.654012
12/2013,3.695735
01/2013,2.827362
02/2013,2.868908
03/2013,2.9445625
04/2013,2.967785
05/2013,3.3733995
06/2013,3.3516329999999996
07/2013,3.323625
08/2013,3.4682275000000002
09/2013,3.6793475
10/2014,4.348443
11/2014,4.812213
12/2014,4.9370085
01/2014,3.735830
02/2014,4.221677
03/2014,4.333136
04/2014,4.418425
05/2014,4.366302
06/2014,4.512554
07/2014,4.4304435
08/2014,4.531594
09/2014,4.575548
10/2015,6.666543000000001
11/2015,7.5183895
12/2015,8.045116499999999
01/2015,4.749755
02/2015,5.316303
03/2015,5.4560794999999995
04/2015,5.350042
05/2015,5.1283275
06/2015,5.2392255
07/2015,4.791324
08/2015,5.501965
09/2015,5.577334
10/2016,16.616730
11/2016,21.643082
12/2016,24.321777
01/2016,7.004242
02/2016,6.8834365
03/2016,8.053606
04/2016,8.883951
05/2016,10.333993
06/2016,11.492931
07/2016,13.0388295
08/2016,15.138100
09/2016,15.529285
10/2017,48.235596
11/2017,52.244934
12/2017,48.0069125
01/2017,25.902414999999998
02/2017,27.325298
03/2017,25.610687
04/2017,24.858229
05/2017,32.1903685
06/2017,37.417982
07/2017,40.349483500000005
08/2017,40.786617
09/2017,42.3872075
10/2018,59.355186
11/2018,46.967739
12/2018,36.326408
01/2018,55.516644
02/2018,59.716755
03/2018,59.860294
04/2018,55.996662
05/2018,61.3271905
06/2018,64.957039
07/2018,61.747360
08/2018,63.758369
09/2018,67.366501
10/2019,48.325588
11/2019,52.1799945
12/2019,56.065777
01/2019,36.023792
02/2019,38.303085
03/2019,41.950642
04/2019,46.745358
05/2019,39.483762999999996
06/2019,37.1859095
07/2019,41.768585
08/2019,40.093069
09/2019,44.401512
10/2020,135.9319835
11/2020,133.7501675
12/2020,132.4465025
01/2020,61.150661
02/2020,66.708679
03/2020,61.7491075
04/2020,70.750160
05/2020,82.485794
06/2020,91.3790285
07/2020,101.92099400000001
08/2020,121.034386
09/2020,126.050171
10/2021,218.281921
11/2021,303.430054
12/2021,299.762497
01/2021,133.133682
02/2021,143.227966
03/2021,128.309128
04/2021,152.354614
05/2021,144.624771
06/2021,178.911316
07/2021,195.602524
08/2021,202.495613
09/2021,221.427063
10/2022,124.567001
11/2022,156.653046
12/2022,164.929077
01/2022,262.016342
02/2022,243.502731
03/2022,244.652817
04/2022,216.16357399999998
05/2022,175.729324
06/2022,165.487244
07/2022,159.628357
08/2022,179.232895
09/2022,131.661697
10/2023,437.94595300000003
11/2023,481.335083
12/2023,482.2823635
01/2023,171.29596700000002
02/2023,219.912109
03/2023,255.328125
04/2023,270.953094
05/2023,291.72644
06/2023,410.130920
07/2023,454.5062565
08/2023,446.702942
09/2023,439.270752
01/2024,563.793579
02/2024,721.871155
03/2024,898.23999
04/2024,865.2000125